CustomerID,Recency,RecencyCluster,Frequency,FrequencyCluster,TotalRevenue,MeanRevenue,TotalRevenueCluster,OverallScore,Segment_High-Value,Segment_Mid-Value,Segment_low_value
13085.0,57,3,92,0,1459.46,15.863695652173913,0,3,False,True,False
18087.0,44,3,94,0,13558.82,144.2427659574468,0,3,False,True,False
17519.0,33,3,208,0,4746.78,22.82105769230769,0,3,False,True,False
12362.0,12,3,111,0,1854.55,16.707657657657656,0,3,False,True,False
15712.0,9,3,155,0,3161.41,20.396193548387096,0,3,False,True,False
16128.0,43,3,136,0,2562.88,18.84470588235294,0,3,False,True,False
17984.0,45,3,251,0,1191.27,4.74609561752988,0,3,False,True,False
14748.0,23,3,206,0,2375.27,11.530436893203884,0,3,False,True,False
14871.0,78,3,165,0,1091.34,6.614181818181818,0,3,False,True,False
12615.0,68,3,204,0,3908.43,19.15897058823529,0,3,False,True,False
15299.0,23,3,18,0,5771.62,320.6455555555556,0,3,False,True,False
15796.0,9,3,254,0,3884.11,15.291771653543307,0,3,False,True,False
14292.0,45,3,166,0,6620.88,39.884819277108434,0,3,False,True,False
14341.0,30,3,205,0,3400.71,16.588829268292685,0,3,False,True,False
13599.0,50,3,277,0,6993.61,25.247689530685918,0,3,False,True,False
17063.0,58,3,175,0,2792.21,15.955485714285714,0,3,False,True,False
16955.0,84,3,60,0,1261.16,21.019333333333336,0,3,False,True,False
17742.0,13,3,85,0,2098.48,24.688,0,3,False,True,False
15051.0,50,3,182,0,2906.29,15.968626373626373,0,3,False,True,False
14621.0,26,3,135,0,2092.82,15.502370370370372,0,3,False,True,False
14543.0,8,3,255,0,11985.83,47.00325490196079,0,3,False,True,False
18037.0,54,3,33,0,167.42,5.073333333333333,0,3,False,True,False
15380.0,41,3,36,0,2322.4,64.51111111111112,0,3,False,True,False
16150.0,17,3,228,0,3548.92,15.565438596491228,0,3,False,True,False
13110.0,37,3,213,0,2449.7400000000002,11.501126760563382,0,3,False,True,False
15254.0,27,3,68,0,1073.4,15.78529411764706,0,3,False,True,False
12758.0,16,3,317,0,9779.0,30.84858044164038,0,3,False,True,False
13381.0,13,3,304,0,7019.54,23.09059210526316,0,3,False,True,False
16763.0,85,3,45,0,947.75,21.06111111111111,0,3,False,True,False
17345.0,96,3,161,0,1074.97,6.676832298136646,0,3,False,True,False
15265.0,51,3,193,0,3345.64,17.334922279792746,0,3,False,True,False
14108.0,1,3,36,0,738.38,20.510555555555555,0,3,False,True,False
16701.0,29,3,255,0,8266.71,32.41847058823529,0,3,False,True,False
14135.0,5,3,229,0,8105.06,35.393275109170304,0,3,False,True,False
15602.0,29,3,111,0,2221.05,20.00945945945946,0,3,False,True,False
17193.0,72,3,22,0,1020.4000000000001,46.38181818181818,0,3,False,True,False
16131.0,15,3,201,0,8638.23,42.976268656716414,0,3,False,True,False
14560.0,9,3,171,0,5280.3099999999995,30.879005847953213,0,3,False,True,False
12523.0,7,3,218,0,3493.03,16.023073394495412,0,3,False,True,False
14299.0,7,3,295,0,11371.31,38.54681355932203,0,3,False,True,False
12980.0,55,3,59,0,15909.390000000001,269.65067796610174,0,3,False,True,False
13654.0,45,3,272,0,5314.94,19.540220588235293,0,3,False,True,False
17189.0,5,3,123,0,957.63,7.785609756097561,0,3,False,True,False
13070.0,92,3,35,0,743.9,21.254285714285714,0,3,False,True,False
17768.0,66,3,109,0,1642.71,15.070733944954128,0,3,False,True,False
12948.0,0,3,96,0,1665.19,17.34572916666667,0,3,False,True,False
17867.0,43,3,91,0,1217.76,13.381978021978021,0,3,False,True,False
16711.0,40,3,23,0,2010.32,87.40521739130435,0,3,False,True,False
17412.0,96,3,211,0,3836.7400000000002,18.183601895734597,0,3,False,True,False
13313.0,40,3,160,0,2786.29,17.4143125,0,3,False,True,False
16987.0,70,3,180,0,1528.4,8.491111111111111,0,3,False,True,False
17809.0,29,3,90,0,8009.650000000001,88.99611111111112,0,3,False,True,False
17660.0,41,3,89,0,359.47,4.0389887640449444,0,3,False,True,False
14841.0,79,3,268,0,6242.81,23.294067164179108,0,3,False,True,False
15482.0,65,3,74,0,3642.6099999999997,49.22445945945945,0,3,False,True,False
16156.0,49,3,215,0,4295.84,19.9806511627907,0,3,False,True,False
12779.0,89,3,247,0,5444.17,22.041174089068825,0,3,False,True,False
13611.0,65,3,194,0,2745.9500000000003,14.15438144329897,0,3,False,True,False
14483.0,49,3,14,0,249.2,17.8,0,3,False,True,False
15291.0,72,3,247,0,12089.210000000001,48.94417004048584,0,3,False,True,False
15658.0,90,3,133,0,2270.34,17.070225563909776,0,3,False,True,False
17314.0,48,3,218,0,3496.41,16.038577981651375,0,3,False,True,False
17155.0,77,3,62,0,784.0600000000001,12.646129032258065,0,3,False,True,False
14051.0,13,3,258,0,15181.550000000001,58.84321705426357,0,3,False,True,False
13993.0,0,3,236,0,5523.86,23.406186440677963,0,3,False,True,False
17069.0,50,3,245,0,4521.83,18.456448979591837,0,3,False,True,False
16168.0,3,3,286,0,9129.68,31.921958041958042,0,3,False,True,False
13895.0,43,3,114,0,2272.8,19.93684210526316,0,3,False,True,False
13208.0,55,3,217,0,1599.67,7.371751152073733,0,3,False,True,False
16139.0,12,3,41,0,782.11,19.075853658536587,0,3,False,True,False
14905.0,54,3,81,0,1939.69,23.94679012345679,0,3,False,True,False
18229.0,10,3,150,0,8390.87,55.93913333333334,0,3,False,True,False
17293.0,19,3,161,0,2766.15,17.181055900621118,0,3,False,True,False
15550.0,6,3,231,0,1853.25,8.022727272727273,0,3,False,True,False
14952.0,58,3,276,0,12710.47,46.05242753623188,0,3,False,True,False
12937.0,97,3,125,0,2021.57,16.17256,0,3,False,True,False
16612.0,19,3,153,0,2926.12,19.124967320261437,0,3,False,True,False
14958.0,47,3,72,0,957.9399999999999,13.304722222222221,0,3,False,True,False
14898.0,34,3,269,0,3064.64,11.39271375464684,0,3,False,True,False
17414.0,84,3,20,0,2069.52,103.476,0,3,False,True,False
13037.0,38,3,241,0,3842.55,15.944190871369296,0,3,False,True,False
16570.0,27,3,212,0,5244.99,24.74051886792453,0,3,False,True,False
17663.0,54,3,208,0,4301.35,20.67956730769231,0,3,False,True,False
16003.0,34,3,158,0,4672.36,29.571898734177214,0,3,False,True,False
15755.0,8,3,299,0,4762.9,15.92943143812709,0,3,False,True,False
13154.0,44,3,97,0,997.4300000000001,10.28278350515464,0,3,False,True,False
16961.0,16,3,55,0,773.01,14.054727272727273,0,3,False,True,False
14221.0,13,3,293,0,5690.8,19.422525597269626,0,3,False,True,False
12759.0,71,3,273,0,4571.82,16.746593406593405,0,3,False,True,False
14735.0,10,3,306,0,9340.33,30.523954248366014,0,3,False,True,False
18061.0,7,3,124,0,6154.57,49.633629032258064,0,3,False,True,False
16883.0,87,3,289,0,2386.64,8.258269896193772,0,3,False,True,False
18092.0,19,3,114,0,12958.91,113.67464912280701,0,3,False,True,False
13481.0,8,3,200,0,3370.61,16.85305,0,3,False,True,False
16656.0,16,3,133,0,13951.17,104.89601503759398,0,3,False,True,False
17157.0,72,3,138,0,4981.91,36.100797101449274,0,3,False,True,False
16325.0,55,3,139,0,3316.2200000000003,23.85769784172662,0,3,False,True,False
16723.0,7,3,129,0,1136.6299999999999,8.811085271317829,0,3,False,True,False
12510.0,42,3,154,0,3689.33,23.95668831168831,0,3,False,True,False
13162.0,22,3,243,0,9116.94,37.51827160493827,0,3,False,True,False
17935.0,38,3,66,0,655.54,9.932424242424242,0,3,False,True,False
13199.0,3,3,153,0,11141.7,72.82156862745099,0,3,False,True,False
16593.0,89,3,74,0,976.7099999999999,13.198783783783783,0,3,False,True,False
13021.0,57,3,193,0,3322.4700000000003,17.214870466321244,0,3,False,True,False
17115.0,79,3,122,0,2391.61,19.603360655737706,0,3,False,True,False
14239.0,30,3,176,0,3238.4100000000003,18.40005681818182,0,3,False,True,False
12359.0,89,3,266,0,5929.29,22.290563909774438,0,3,False,True,False
15240.0,91,3,209,0,3653.81,17.482344497607656,0,3,False,True,False
14709.0,12,3,301,0,7309.88,24.28531561461794,0,3,False,True,False
14867.0,85,3,141,0,2901.46,20.577730496453903,0,3,False,True,False
17642.0,19,3,108,0,1824.49,16.893425925925925,0,3,False,True,False
13813.0,26,3,101,0,1704.7,16.87821782178218,0,3,False,True,False
13589.0,79,3,40,0,888.09,22.20225,0,3,False,True,False
14133.0,29,3,38,0,895.8399999999999,23.57473684210526,0,3,False,True,False
15860.0,24,3,305,0,2182.28,7.155016393442623,0,3,False,True,False
13373.0,58,3,306,0,6330.52,20.68797385620915,0,3,False,True,False
13782.0,24,3,192,0,1361.7,7.0921875000000005,0,3,False,True,False
17848.0,28,3,168,0,3558.55,21.18184523809524,0,3,False,True,False
17969.0,66,3,222,0,2251.19,10.140495495495495,0,3,False,True,False
14548.0,50,3,113,0,2627.49,23.252123893805308,0,3,False,True,False
13890.0,7,3,100,0,1493.88,14.9388,0,3,False,True,False
15641.0,5,3,311,0,5345.55,17.188263665594857,0,3,False,True,False
17858.0,16,3,307,0,11223.89,36.55990228013029,0,3,False,True,False
13491.0,47,3,260,0,4439.1900000000005,17.073807692307696,0,3,False,True,False
14738.0,30,3,61,0,1226.79,20.111311475409835,0,3,False,True,False
17739.0,91,3,123,0,5997.56,48.76065040650407,0,3,False,True,False
14828.0,96,3,102,0,9803.460000000001,96.11235294117648,0,3,False,True,False
14037.0,76,3,115,0,755.95,6.573478260869566,0,3,False,True,False
18077.0,3,3,304,0,3376.49,11.106874999999999,0,3,False,True,False
16768.0,3,3,163,0,1463.77,8.980184049079755,0,3,False,True,False
13984.0,26,3,90,0,1514.94,16.832666666666668,0,3,False,True,False
14408.0,30,3,117,0,3499.75,29.912393162393162,0,3,False,True,False
17707.0,85,3,25,0,605.0500000000001,24.202,0,3,False,True,False
14307.0,34,3,275,0,4375.25,15.91,0,3,False,True,False
