,Customer ID,Recency,RecencyCluster,Frequency,FrequencyCluster,TotalRevenue,MeanRevenue,TotalRevenueCluster,OverallScore,Segment_High-Value,Segment_Mid-Value,Segment_low_value
0,13085.0,32,3,21,0,-695.72,-33.12952380952381,0,3,0,1,0
1,14748.0,20,3,181,0,2031.8799999999999,11.22585635359116,0,3,0,1,0
2,18037.0,32,3,24,0,111.82,4.659166666666667,0,3,0,1,0
3,16763.0,6,3,23,0,611.85,26.60217391304348,0,3,0,1,0
4,17345.0,4,3,123,0,819.66,6.66390243902439,0,3,0,1,0
5,13748.0,40,3,37,0,1727.85,46.69864864864864,0,3,0,1,0
6,15602.0,8,3,85,0,1858.55,21.865294117647057,0,3,0,1,0
7,13623.0,17,3,183,0,1281.55,7.003005464480874,0,3,0,1,0
8,17867.0,10,3,68,0,789.35,11.608088235294119,0,3,0,1,0
9,16086.0,7,3,95,0,2044.03,21.516105263157893,0,3,0,1,0
10,17412.0,4,3,138,0,2575.35,18.66195652173913,0,3,0,1,0
11,15658.0,5,3,114,0,1941.19,17.02798245614035,0,3,0,1,0
12,13208.0,14,3,183,0,1403.69,7.670437158469945,0,3,0,1,0
13,16139.0,14,3,6,0,139.79999999999998,23.299999999999997,0,3,0,1,0
14,17764.0,18,3,73,0,872.14,11.947123287671232,0,3,0,1,0
15,14905.0,41,3,59,0,1390.24,23.563389830508473,0,3,0,1,0
16,14958.0,53,3,36,0,482.55,13.404166666666667,0,3,0,1,0
17,14662.0,42,3,169,0,1059.32,6.2681656804733725,0,3,0,1,0
18,13037.0,27,3,185,0,2955.36,15.97491891891892,0,3,0,1,0
19,13946.0,9,3,29,0,1389.6299999999999,47.91827586206896,0,3,0,1,0
20,16325.0,42,3,97,0,2591.04,26.711752577319587,0,3,0,1,0
21,13162.0,41,3,154,0,5210.63,33.835259740259744,0,3,0,1,0
22,13487.0,20,3,33,0,576.32,17.464242424242425,0,3,0,1,0
23,17115.0,33,3,49,0,847.2,17.289795918367346,0,3,0,1,0
24,14867.0,26,3,110,0,2281.58,20.741636363636363,0,3,0,1,0
25,15860.0,40,3,237,0,1652.66,6.97324894514768,0,3,0,1,0
26,13782.0,42,3,139,0,967.09,6.957482014388489,0,3,0,1,0
27,17848.0,56,3,122,0,2155.85,17.67090163934426,0,3,0,1,0
28,13491.0,55,3,196,0,3154.98,16.096836734693877,0,3,0,1,0
29,13984.0,57,3,60,0,1475.55,24.592499999999998,0,3,0,1,0
30,13495.0,40,3,118,0,3455.91,29.28737288135593,0,3,0,1,0
31,14512.0,39,3,62,0,921.23,14.858548387096775,0,3,0,1,0
32,17457.0,12,3,55,0,4343.55,78.97363636363637,0,3,0,1,0
33,15421.0,23,3,165,0,2151.01,13.036424242424244,0,3,0,1,0
34,17047.0,12,3,98,0,1615.1100000000001,16.48071428571429,0,3,0,1,0
35,17854.0,34,3,102,0,736.01,7.21578431372549,0,3,0,1,0
36,17268.0,51,3,18,0,1091.03,60.61277777777778,0,3,0,1,0
37,14267.0,48,3,32,0,809.01,25.2815625,0,3,0,1,0
38,13455.0,8,3,120,0,2003.97,16.69975,0,3,0,1,0
39,12924.0,6,3,49,0,1864.3700000000001,38.048367346938775,0,3,0,1,0
40,14173.0,27,3,14,0,225.6,16.114285714285714,0,3,0,1,0
41,17631.0,40,3,29,0,436.95,15.067241379310344,0,3,0,1,0
42,16755.0,34,3,193,0,1873.88,9.709222797927461,0,3,0,1,0
43,13728.0,6,3,105,0,1809.1200000000001,17.229714285714287,0,3,0,1,0
44,15841.0,26,3,56,0,1516.91,27.087678571428572,0,3,0,1,0
45,16143.0,20,3,161,0,3283.19,20.39248447204969,0,3,0,1,0
46,17388.0,19,3,43,0,1966.25,45.72674418604651,0,3,0,1,0
47,16748.0,25,3,119,0,2809.24,23.60705882352941,0,3,0,1,0
48,15912.0,40,3,36,0,434.03000000000003,12.05638888888889,0,3,0,1,0
49,15367.0,11,3,211,0,3758.7,17.813744075829383,0,3,0,1,0
50,14577.0,40,3,86,0,658.8100000000001,7.660581395348838,0,3,0,1,0
51,17409.0,55,3,72,0,5570.13,77.36291666666666,0,3,0,1,0
52,12854.0,49,3,121,0,1201.6,9.930578512396693,0,3,0,1,0
53,14625.0,4,3,206,0,3376.81,16.392281553398057,0,3,0,1,0
54,13026.0,28,3,25,0,665.46,26.6184,0,3,0,1,0
55,14514.0,9,3,220,0,2553.11,11.605045454545456,0,3,0,1,0
56,17886.0,18,3,113,0,1105.03,9.779026548672567,0,3,0,1,0
57,16206.0,16,3,199,0,2013.8400000000001,10.119798994974875,0,3,0,1,0
58,13591.0,12,3,80,0,1687.09,21.088625,0,3,0,1,0
59,16554.0,11,3,152,0,1588.84,10.452894736842104,0,3,0,1,0
60,17572.0,46,3,28,0,586.1500000000001,20.933928571428574,0,3,0,1,0
61,17262.0,34,3,18,0,2290.12,127.22888888888889,0,3,0,1,0
62,13405.0,11,3,41,0,1035.1000000000001,25.246341463414637,0,3,0,1,0
63,18177.0,11,3,62,0,1227.35,19.79596774193548,0,3,0,1,0
64,15312.0,23,3,100,0,1814.6000000000001,18.146,0,3,0,1,0
65,17873.0,48,3,125,0,4266.83,34.13464,0,3,0,1,0
66,15863.0,0,3,16,0,137.71,8.606875,0,3,0,1,0
67,18097.0,13,3,97,0,3244.62,33.44969072164948,0,3,0,1,0
68,13427.0,22,3,26,0,542.4300000000001,20.86269230769231,0,3,0,1,0
69,12997.0,41,3,92,0,1453.39,15.79771739130435,0,3,0,1,0
70,14083.0,7,3,165,0,814.13,4.934121212121212,0,3,0,1,0
71,18036.0,53,3,227,0,1016.72,4.478942731277533,0,3,0,1,0
72,17624.0,25,3,50,0,808.62,16.1724,0,3,0,1,0
73,14819.0,0,3,35,0,252.17000000000002,7.2048571428571435,0,3,0,1,0
74,17888.0,20,3,87,0,705.95,8.114367816091955,0,3,0,1,0
75,15810.0,39,3,117,0,2147.51,18.35478632478633,0,3,0,1,0
76,14198.0,33,3,49,0,754.59,15.399795918367348,0,3,0,1,0
77,15865.0,21,3,45,0,953.67,21.192666666666664,0,3,0,1,0
78,14541.0,21,3,127,0,1601.6,12.611023622047243,0,3,0,1,0
79,16027.0,26,3,19,0,916.89,48.25736842105263,0,3,0,1,0
80,17323.0,23,3,158,0,689.59,4.364493670886076,0,3,0,1,0
81,12951.0,11,3,153,0,2380.33,15.557712418300653,0,3,0,1,0
82,12649.0,20,3,91,0,1621.04,17.813626373626374,0,3,0,1,0
83,16660.0,18,3,11,0,854.66,77.69636363636363,0,3,0,1,0
84,14421.0,19,3,40,0,1089.94,27.2485,0,3,0,1,0
85,17591.0,11,3,232,0,2045.22,8.815603448275862,0,3,0,1,0
86,12987.0,5,3,36,0,775.48,21.54111111111111,0,3,0,1,0
87,16085.0,44,3,225,0,1425.62,6.336088888888888,0,3,0,1,0
88,15095.0,11,3,89,0,2266.65,25.46797752808989,0,3,0,1,0
89,14064.0,19,3,144,0,1863.6599999999999,12.942083333333333,0,3,0,1,0
90,17320.0,44,3,130,0,2281.59,17.55069230769231,0,3,0,1,0
91,13192.0,13,3,89,0,1378.39,15.487528089887642,0,3,0,1,0
92,16229.0,20,3,141,0,2215.46,15.712482269503546,0,3,0,1,0
93,17460.0,33,3,112,0,1520.39,13.574910714285716,0,3,0,1,0
94,15434.0,6,3,77,0,1497.24,19.444675324675323,0,3,0,1,0
95,14628.0,50,3,51,0,1278.49,25.06843137254902,0,3,0,1,0
96,14912.0,54,3,53,0,350.1799999999999,6.607169811320753,0,3,0,1,0
97,14551.0,11,3,73,0,648.94,8.889589041095892,0,3,0,1,0
98,15797.0,21,3,9,0,2153.2,239.2444444444444,0,3,0,1,0
99,16320.0,21,3,193,0,3419.92,17.71979274611399,0,3,0,1,0
100,15563.0,8,3,169,0,1768.34,10.463550295857988,0,3,0,1,0
101,14047.0,7,3,138,0,2957.8,21.433333333333334,0,3,0,1,0
102,18064.0,43,3,61,0,3582.78,58.73409836065574,0,3,0,1,0
103,16454.0,48,3,5,0,0.0,0.0,0,3,0,1,0
104,16266.0,8,3,68,0,1115.73,16.407794117647057,0,3,0,1,0
105,14682.0,9,3,63,0,1096.59,17.406190476190474,0,3,0,1,0
106,17774.0,57,3,253,0,1779.08,7.031936758893281,0,3,0,1,0
107,13242.0,21,3,21,0,416.0,19.80952380952381,0,3,0,1,0
